Id,Date,Time,TotalIntensity,AverageIntensity
1503960366,4/17/2016,19,24,0.4
1503960366,4/17/2016,20,87,1.45
1503960366,4/17/2016,21,16,0.266667
1503960366,4/17/2016,22,5,0.083333
1503960366,4/17/2016,23,0,0
1503960366,4/18/2016,00,21,0.35
1503960366,4/18/2016,01,0,0
1503960366,4/18/2016,02,0,0
1503960366,4/18/2016,03,0,0
1503960366,4/18/2016,04,0,0
1503960366,4/18/2016,05,0,0
1503960366,4/18/2016,06,0,0
1503960366,4/18/2016,07,0,0
1503960366,4/18/2016,08,0,0
1503960366,4/18/2016,09,39,0.65
1503960366,4/18/2016,10,17,0.283333
1503960366,4/18/2016,11,15,0.25
1503960366,4/18/2016,12,40,0.666667
1503960366,4/18/2016,13,9,0.15
1503960366,4/18/2016,14,7,0.116667
1503960366,4/18/2016,15,14,0.233333
1503960366,4/18/2016,16,17,0.283333
1503960366,4/18/2016,17,18,0.3
1503960366,4/18/2016,18,114,1.9
1503960366,4/18/2016,19,30,0.5
1503960366,4/18/2016,20,2,0.033333
1503960366,4/18/2016,21,11,0.183333
1503960366,4/18/2016,22,19,0.316667
1503960366,4/18/2016,23,18,0.3
1503960366,4/19/2016,00,0,0
1503960366,4/19/2016,01,1,0.016667
1503960366,4/19/2016,02,0,0
1503960366,4/19/2016,03,2,0.033333
1503960366,4/19/2016,04,0,0
1503960366,4/19/2016,05,0,0
1503960366,4/19/2016,06,1,0.016667
1503960366,4/19/2016,07,19,0.316667
1503960366,4/19/2016,08,38,0.633333
1503960366,4/19/2016,09,16,0.266667
1503960366,4/19/2016,10,16,0.266667
1503960366,4/19/2016,11,13,0.216667
1503960366,4/19/2016,12,61,1.016667
1503960366,4/19/2016,13,65,1.083333
1503960366,4/19/2016,14,12,0.2
1503960366,4/19/2016,15,12,0.2
1503960366,4/19/2016,16,9,0.15
1503960366,4/19/2016,17,13,0.216667
1503960366,4/19/2016,18,30,0.5
1503960366,4/19/2016,19,31,0.516667
1503960366,4/19/2016,20,69,1.15
1503960366,4/19/2016,21,16,0.266667
1503960366,4/19/2016,22,4,0.066667
1503960366,4/19/2016,23,48,0.8
1503960366,4/20/2016,00,2,0.033333
1503960366,4/20/2016,01,2,0.033333
1503960366,4/20/2016,02,0,0
1503960366,4/20/2016,03,0,0
1503960366,4/20/2016,04,0,0
1503960366,4/20/2016,05,0,0
1503960366,4/20/2016,06,0,0
1503960366,4/20/2016,07,3,0.05
1503960366,4/20/2016,08,14,0.233333
1503960366,4/20/2016,09,50,0.833333
1503960366,4/20/2016,10,13,0.216667
1503960366,4/20/2016,11,1,0.016667
1503960366,4/20/2016,12,8,0.133333
1503960366,4/20/2016,13,5,0.083333
1503960366,4/20/2016,14,39,0.65
1503960366,4/20/2016,15,21,0.35
1503960366,4/20/2016,16,11,0.183333
1503960366,4/20/2016,17,2,0.033333
1503960366,4/20/2016,18,32,0.533333
1503960366,4/20/2016,19,36,0.6
1503960366,4/20/2016,20,12,0.2
1503960366,4/20/2016,21,22,0.366667
1503960366,4/20/2016,22,7,0.116667
1503960366,4/20/2016,23,33,0.55
1503960366,4/21/2016,00,2,0.033333
1503960366,4/21/2016,01,8,0.133333
1503960366,4/21/2016,02,5,0.083333
1503960366,4/21/2016,03,0,0
1503960366,4/21/2016,04,0,0
1503960366,4/21/2016,05,0,0
