Id,Date,Time,Calories
1503960366,4/12/2016,00,81
1503960366,4/12/2016,01,61
1503960366,4/12/2016,02,59
1503960366,4/12/2016,03,47
1503960366,4/12/2016,04,48
1503960366,4/12/2016,05,48
1503960366,4/12/2016,06,48
1503960366,4/12/2016,07,47
1503960366,4/12/2016,08,68
1503960366,4/12/2016,09,141
1503960366,4/12/2016,10,99
1503960366,4/12/2016,11,76
1503960366,4/12/2016,12,73
1503960366,4/12/2016,13,66
1503960366,4/12/2016,14,110
1503960366,4/12/2016,15,151
1503960366,4/12/2016,16,76
1503960366,4/12/2016,17,83
1503960366,4/12/2016,18,124
1503960366,4/12/2016,19,104
1503960366,4/12/2016,20,132
1503960366,4/12/2016,21,100
1503960366,4/12/2016,22,65
1503960366,4/12/2016,23,81
1503960366,4/13/2016,00,69
1503960366,4/13/2016,01,48
1503960366,4/13/2016,02,47
1503960366,4/13/2016,03,53
1503960366,4/13/2016,04,47
1503960366,4/13/2016,05,47
1503960366,4/13/2016,06,48
1503960366,4/13/2016,07,59
1503960366,4/13/2016,08,69
1503960366,4/13/2016,09,136
1503960366,4/13/2016,10,77
1503960366,4/13/2016,11,84
1503960366,4/13/2016,12,82
1503960366,4/13/2016,13,72
1503960366,4/13/2016,14,128
1503960366,4/13/2016,15,79
1503960366,4/13/2016,16,71
1503960366,4/13/2016,17,87
1503960366,4/13/2016,18,118
1503960366,4/13/2016,19,73
1503960366,4/13/2016,20,47
1503960366,4/13/2016,21,48
1503960366,4/13/2016,22,74
1503960366,4/13/2016,23,135
1503960366,4/14/2016,00,56
1503960366,4/14/2016,01,54
1503960366,4/14/2016,02,47
1503960366,4/14/2016,03,47
1503960366,4/14/2016,04,47
1503960366,4/14/2016,05,47
1503960366,4/14/2016,06,47
1503960366,4/14/2016,07,47
1503960366,4/14/2016,08,47
1503960366,4/14/2016,09,93
1503960366,4/14/2016,10,109
1503960366,4/14/2016,11,64
1503960366,4/14/2016,12,85
1503960366,4/14/2016,13,137
1503960366,4/14/2016,14,113
1503960366,4/14/2016,15,66
1503960366,4/14/2016,16,88
1503960366,4/14/2016,17,61
1503960366,4/14/2016,18,72
1503960366,4/14/2016,19,55
1503960366,4/14/2016,20,91
1503960366,4/14/2016,21,174
1503960366,4/14/2016,22,79
1503960366,4/14/2016,23,50
1503960366,4/15/2016,00,60
1503960366,4/15/2016,01,58
1503960366,4/15/2016,02,59
1503960366,4/15/2016,03,47
1503960366,4/15/2016,04,47
1503960366,4/15/2016,05,49
1503960366,4/15/2016,06,47
1503960366,4/15/2016,07,49
1503960366,4/15/2016,08,54
1503960366,4/15/2016,09,50
1503960366,4/15/2016,10,63
1503960366,4/15/2016,11,84
1503960366,4/15/2016,12,74
1503960366,4/15/2016,13,67
1503960366,4/15/2016,14,47
1503960366,4/15/2016,15,47
1503960366,4/15/2016,16,47
1503960366,4/15/2016,17,140
1503960366,4/15/2016,18,87
1503960366,4/15/2016,19,97
1503960366,4/15/2016,20,64
1503960366,4/15/2016,21,75
1503960366,4/15/2016,22,151
1503960366,4/15/2016,23,182
1503960366,4/16/2016,00,77
1503960366,4/16/2016,01,48
1503960366,4/16/2016,02,52
1503960366,4/16/2016,03,48
1503960366,4/16/2016,04,49
1503960366,4/16/2016,05,49
1503960366,4/16/2016,06,48
1503960366,4/16/2016,07,54
1503960366,4/16/2016,08,62
1503960366,4/16/2016,09,124
1503960366,4/16/2016,10,110
1503960366,4/16/2016,11,147
1503960366,4/16/2016,12,119
1503960366,4/16/2016,13,214
1503960366,4/16/2016,14,82
1503960366,4/16/2016,15,51
1503960366,4/16/2016,16,54
1503960366,4/16/2016,17,79
1503960366,4/16/2016,18,65
1503960366,4/16/2016,19,67
1503960366,4/16/2016,20,81
1503960366,4/16/2016,21,75
1503960366,4/16/2016,22,55
1503960366,4/16/2016,23,56
1503960366,4/17/2016,00,47
1503960366,4/17/2016,01,48
1503960366,4/17/2016,02,47
1503960366,4/17/2016,03,49
1503960366,4/17/2016,04,48
1503960366,4/17/2016,05,48
1503960366,4/17/2016,06,48
1503960366,4/17/2016,07,48
1503960366,4/17/2016,08,48
1503960366,4/17/2016,09,48
1503960366,4/17/2016,10,47
1503960366,4/17/2016,11,63
1503960366,4/17/2016,12,76
1503960366,4/17/2016,13,83
1503960366,4/17/2016,14,69
1503960366,4/17/2016,15,73
1503960366,4/17/2016,16,57
1503960366,4/17/2016,17,174
1503960366,4/17/2016,18,136
1503960366,4/17/2016,19,95
1503960366,4/17/2016,20,191
1503960366,4/17/2016,21,79
1503960366,4/17/2016,22,58
1503960366,4/17/2016,23,50
1503960366,4/18/2016,00,82
1503960366,4/18/2016,01,48
1503960366,4/18/2016,02,47
1503960366,4/18/2016,03,47
1503960366,4/18/2016,04,47
1503960366,4/18/2016,05,47
1503960366,4/18/2016,06,47
1503960366,4/18/2016,07,47
1503960366,4/18/2016,08,47
1503960366,4/18/2016,09,133
