Id,Date,Time,StepTotal
1503960366,4/12/2016,00,373
1503960366,4/12/2016,01,160
1503960366,4/12/2016,02,151
1503960366,4/12/2016,03,0
1503960366,4/12/2016,04,0
1503960366,4/12/2016,05,0
1503960366,4/12/2016,06,0
1503960366,4/12/2016,07,0
1503960366,4/12/2016,08,250
1503960366,4/12/2016,09,1864
1503960366,4/12/2016,10,676
1503960366,4/12/2016,11,360
1503960366,4/12/2016,12,253
1503960366,4/12/2016,13,221
1503960366,4/12/2016,14,1166
1503960366,4/12/2016,15,2063
1503960366,4/12/2016,16,344
1503960366,4/12/2016,17,489
1503960366,4/12/2016,18,1386
1503960366,4/12/2016,19,558
1503960366,4/12/2016,20,1733
1503960366,4/12/2016,21,684
1503960366,4/12/2016,22,89
1503960366,4/12/2016,23,338
1503960366,4/13/2016,00,144
1503960366,4/13/2016,01,0
1503960366,4/13/2016,02,0
1503960366,4/13/2016,03,36
1503960366,4/13/2016,04,0
1503960366,4/13/2016,05,0
1503960366,4/13/2016,06,0
1503960366,4/13/2016,07,126
1503960366,4/13/2016,08,275
1503960366,4/13/2016,09,1679
1503960366,4/13/2016,10,295
1503960366,4/13/2016,11,524
1503960366,4/13/2016,12,486
1503960366,4/13/2016,13,302
1503960366,4/13/2016,14,1577
1503960366,4/13/2016,15,493
1503960366,4/13/2016,16,299
1503960366,4/13/2016,17,695
1503960366,4/13/2016,18,1343
1503960366,4/13/2016,19,258
1503960366,4/13/2016,20,0
1503960366,4/13/2016,21,0
1503960366,4/13/2016,22,437
1503960366,4/13/2016,23,1766
1503960366,4/14/2016,00,81
1503960366,4/14/2016,01,58
1503960366,4/14/2016,02,0
1503960366,4/14/2016,03,0
1503960366,4/14/2016,04,0
1503960366,4/14/2016,05,0
1503960366,4/14/2016,06,0
1503960366,4/14/2016,07,0
1503960366,4/14/2016,08,0
1503960366,4/14/2016,09,902
1503960366,4/14/2016,10,1106
1503960366,4/14/2016,11,50
1503960366,4/14/2016,12,501
1503960366,4/14/2016,13,1779
1503960366,4/14/2016,14,1228
1503960366,4/14/2016,15,139
1503960366,4/14/2016,16,408
1503960366,4/14/2016,17,37
1503960366,4/14/2016,18,322
1503960366,4/14/2016,19,11
1503960366,4/14/2016,20,806
1503960366,4/14/2016,21,2670
1503960366,4/14/2016,22,362
1503960366,4/14/2016,23,0
1503960366,4/15/2016,00,83
1503960366,4/15/2016,01,75
1503960366,4/15/2016,02,124
1503960366,4/15/2016,03,0
1503960366,4/15/2016,04,0
1503960366,4/15/2016,05,26
1503960366,4/15/2016,06,0
1503960366,4/15/2016,07,7
1503960366,4/15/2016,08,55
1503960366,4/15/2016,09,21
1503960366,4/15/2016,10,154
1503960366,4/15/2016,11,425
1503960366,4/15/2016,12,270
1503960366,4/15/2016,13,373
1503960366,4/15/2016,14,0
1503960366,4/15/2016,15,0
1503960366,4/15/2016,16,0
1503960366,4/15/2016,17,1774
1503960366,4/15/2016,18,509
1503960366,4/15/2016,19,519
1503960366,4/15/2016,20,77
1503960366,4/15/2016,21,280
1503960366,4/15/2016,22,2145
1503960366,4/15/2016,23,2768
1503960366,4/16/2016,00,459
1503960366,4/16/2016,01,0
1503960366,4/16/2016,02,63
1503960366,4/16/2016,03,6
1503960366,4/16/2016,04,6
1503960366,4/16/2016,05,12
1503960366,4/16/2016,06,0
1503960366,4/16/2016,07,101
1503960366,4/16/2016,08,175
1503960366,4/16/2016,09,1181
1503960366,4/16/2016,10,1295
1503960366,4/16/2016,11,2043
1503960366,4/16/2016,12,1513
1503960366,4/16/2016,13,3616
1503960366,4/16/2016,14,580
1503960366,4/16/2016,15,0
1503960366,4/16/2016,16,15
1503960366,4/16/2016,17,380
1503960366,4/16/2016,18,96
1503960366,4/16/2016,19,146
1503960366,4/16/2016,20,385
1503960366,4/16/2016,21,463
1503960366,4/16/2016,22,42
1503960366,4/16/2016,23,92
1503960366,4/17/2016,00,0
1503960366,4/17/2016,01,0
1503960366,4/17/2016,02,0
1503960366,4/17/2016,03,8
1503960366,4/17/2016,04,0
1503960366,4/17/2016,05,0
1503960366,4/17/2016,06,0
1503960366,4/17/2016,07,0
1503960366,4/17/2016,08,0
1503960366,4/17/2016,09,0
1503960366,4/17/2016,10,0
1503960366,4/17/2016,11,84
1503960366,4/17/2016,12,260
1503960366,4/17/2016,13,402
1503960366,4/17/2016,14,252
1503960366,4/17/2016,15,191
1503960366,4/17/2016,16,13
1503960366,4/17/2016,17,2613
1503960366,4/17/2016,18,1616
1503960366,4/17/2016,19,754
1503960366,4/17/2016,20,2955
1503960366,4/17/2016,21,487
1503960366,4/17/2016,22,70
1503960366,4/17/2016,23,0
1503960366,4/18/2016,00,416
